Gene	EnsID	Chromosome	Start	End	band	strand
23976	MRPL50P4	ENSG00000235469	10	59551404	59551878	q21.2	-1
24945	SLC16A9	ENSG00000165449	10	59650761	59736002	q21.2	-1
31016	MRLN	ENSG00000227877	10	59736692	59756041	q21.2	-1
8258	CCDC6	ENSG00000108091	10	59788763	59906656	q21.2	-1
19175	LINC01553	ENSG00000235931	10	59955430	59960913	q21.2	-1
32696	ANK3	ENSG00000151150	10	60026298	60733490	q21.2	-1
32658	ARL4P	ENSG00000122872	10	60684505	60685209	q21.2	1
23037	CDK1	ENSG00000170312	10	60778331	60794852	q21.2	1
30286	RHOBTB1	ENSG00000072422	10	60869438	61001440	q21.2	-1
3702	RNU2-72P	ENSG00000223107	10	60912765	60912927	q21.2	-1
11669	LINC00845	ENSG00000227244	10	61016275	61026420	q21.2	1
12075	TMEM26	ENSG00000196932	10	61406643	61453450	q21.2	-1
12155	TMEM26-AS1	ENSG00000237233	10	61452639	61481956	q21.2	1
18794	C10orf107	ENSG00000183346	10	61662961	61766766	q21.2	1
32478	ARID5B	ENSG00000150347	10	61901300	62096944	q21.2	1
32914	RTKN2	ENSG00000182010	10	62183035	62268707	q21.2	-1
681	RN7SL591P	ENSG00000240940	10	62350006	62350297	q21.2	1
34136	ZNF365	ENSG00000138311	10	62374192	62672011	q21.2	1
34249	ALDH7A1P4	ENSG00000234489	10	62741208	62741385	q21.2	-1
34303	ADO	ENSG00000181915	10	62804857	62808483	q21.3	1
34334	EGR2	ENSG00000122877	10	62811996	62919900	q21.3	-1
2331	RNU6-543P	ENSG00000199446	10	63110139	63110246	q21.3	1
11561	NRBF2	ENSG00000148572	10	63133247	63155031	q21.3	1
18542	JMJD1C	ENSG00000171988	10	63167221	63465881	q21.3	-1
23610	TATDN1P1	ENSG00000234369	10	63222155	63223045	q21.3	1
4737	MIR1296	ENSG00000221063	10	63372942	63373053	q21.3	-1
18517	PRELID1P3	ENSG00000235816	10	63427297	63427939	q21.3	1
18519	JMJD1C-AS1	ENSG00000272767	10	63465229	63466563	q21.3	1
26536	REEP3	ENSG00000165476	10	63521363	63625123	q21.3	1
26718	MRPL35P2	ENSG00000232075	10	63634317	63634827	q21.3	-1
32798	DBF4P1	ENSG00000235489	10	64168959	64170850	q21.3	-1
32800	RPL17P35	ENSG00000233900	10	64620374	64620922	q21.3	-1
120	CYP2C61P	ENSG00000270648	10	64762883	64763172	q21.3	-1
12107	ANXA2P3	ENSG00000216740	10	64825572	64826579	q21.3	1
20009	NEK4P3	ENSG00000270754	10	65054460	65055003	q21.3	1
29173	MYL6P3	ENSG00000227173	10	65169438	65169869	q21.3	-1
7176	LINC01515	ENSG00000228065	10	65570338	65768835	q21.3	1
18898	CTNNA3	ENSG00000183230	10	65912518	67696169	q21.3	-1
19467	LRRTM3	ENSG00000198739	10	66926006	67099830	q21.3	1
6081	MIR7151	ENSG00000276866	10	67403351	67403410	q21.3	-1
16384	AKR1B10P1	ENSG00000213606	10	67750284	67751225	q21.3	1
29068	DNAJC12	ENSG00000108176	10	67796665	67838166	q21.3	-1
675	RNU6-1250P	ENSG00000212520	10	67808502	67808608	q21.3	1
4450	RN7SL394P	ENSG00000239942	10	67825310	67825600	q21.3	-1
29095	DNAJC19P1	ENSG00000237141	10	67833763	67834081	q21.3	1
5104	RNU6-523P	ENSG00000252113	10	67858818	67858871	q21.3	-1
6349	RPL12P8	ENSG00000219932	10	67874332	67874911	q21.3	1
26340	SIRT1	ENSG00000096717	10	67884669	67918390	q21.3	1
10017	HERC4	ENSG00000148634	10	67921899	68075348	q21.3	-1
3841	RN7SL220P	ENSG00000266467	10	68007718	68008017	q21.3	-1
9935	POU5F1P5	ENSG00000236375	10	68010205	68010862	q21.3	-1
17526	MYPN	ENSG00000138347	10	68106117	68212017	q21.3	1
14415	RN7SKP202	ENSG00000222371	10	68158079	68158408	q21.3	1
10542	ATOH7	ENSG00000179774	10	68230624	68232103	q21.3	-1
15839	KRT19P4	ENSG00000234102	10	68260557	68261499	q21.3	1
17481	PBLD	ENSG00000108187	10	68282660	68333049	q21.3	-1
19646	HNRNPH3	ENSG00000096746	10	68331174	68343191	q21.3	1
18584	RUFY2	ENSG00000204130	10	68341107	68407294	q21.3	-1
31270	DNA2	ENSG00000138346	10	68414064	68472121	q21.3	-1
1135	RNA5SP319	ENSG00000199638	10	68461407	68461525	q21.3	1
25973	SLC25A16	ENSG00000122912	10	68477999	68527474	q21.3	-1
28428	TMEM14D	ENSG00000214881	10	68544489	68544833	q21.3	-1
28453	TET1	ENSG00000138336	10	68560656	68694482	q21.3	1
28449	COX20P1	ENSG00000213025	10	68632371	68632727	q21.3	1
13509	CCAR1	ENSG00000060339	10	68721012	68792377	q21.3	1
3707	MIR1254-1	ENSG00000221184	10	68759318	68759414	q21.3	1
24128	STOX1	ENSG00000165730	10	68827541	68895432	q22.1	1
5415	RNU6-697P	ENSG00000200218	10	68846805	68846911	q22.1	1
16340	DDX50	ENSG00000107625	10	68901278	68946847	q22.1	1
825	RNU6-571P	ENSG00000206855	10	68911653	68911759	q22.1	-1
8472	DDX21	ENSG00000165732	10	68956128	68985073	q22.1	1
34312	KIAA1279	ENSG00000198954	10	68988721	69016982	q22.1	1
34311	MED28P1	ENSG00000214875	10	68991137	68991707	q22.1	1
27655	ACTBP14	ENSG00000229001	10	69022778	69023866	q22.1	1
17564	SRGN	ENSG00000122862	10	69088106	69104811	q22.1	1
25097	VPS26A	ENSG00000122958	10	69123512	69172861	q22.1	1
12958	SUPV3L1	ENSG00000156502	10	69180232	69209099	q22.1	1
22615	HKDC1	ENSG00000156510	10	69220303	69267559	q22.1	1
10685	HK1	ENSG00000156515	10	69269984	69401882	q22.1	1
24686	TACR2	ENSG00000075073	10	69403903	69416867	q22.1	-1
6714	ATP5G1P7	ENSG00000232734	10	69432972	69433371	q22.1	-1
7367	TSPAN15	ENSG00000099282	10	69451473	69507669	q22.1	1
11670	TMEM256P1	ENSG00000233197	10	69523311	69523650	q22.1	-1
12151	NEUROG3	ENSG00000122859	10	69571698	69573238	q22.1	-1
31499	MTND2P15	ENSG00000231152	10	69594041	69594932	q22.1	-1
31535	MTND1P20	ENSG00000226794	10	69595487	69596436	q22.1	-1
32446	C10orf35	ENSG00000171224	10	69630251	69633599	q22.1	1
34089	RPL5P26	ENSG00000230469	10	69778962	69779838	q22.1	1
6787	COL13A1	ENSG00000197467	10	69801931	69964275	q22.1	1
178	H2AFY2	ENSG00000099284	10	70052796	70112280	q22.1	1
29778	AIFM2	ENSG00000042286	10	70098223	70132934	q22.1	-1
13257	TYSND1	ENSG00000156521	10	70137981	70146676	q22.1	-1
16583	SAR1A	ENSG00000079332	10	70147289	70170523	q22.1	-1
16573	CALM2P2	ENSG00000229097	10	70163685	70164124	q22.1	1
16603	PPA1	ENSG00000180817	10	70202830	70233911	q22.1	-1
14887	NPFFR1	ENSG00000148734	10	70247329	70283676	q22.1	-1
22219	LRRC20	ENSG00000172731	10	70298970	70382650	q22.1	-1
15345	CEP57L1P1	ENSG00000224725	10	70389426	70390626	q22.1	1
15784	EIF4EBP2	ENSG00000148730	10	70404379	70428618	q22.1	1
15918	NODAL	ENSG00000156574	10	70432315	70447951	q22.1	-1
16277	PALD1	ENSG00000107719	10	70478821	70568449	q22.1	1
16268	YY1P1	ENSG00000230661	10	70485336	70486325	q22.1	-1
28404	PRF1	ENSG00000180644	10	70597348	70602775	q22.1	-1
29543	ADAMTS14	ENSG00000138316	10	70672803	70762441	q22.1	1
33831	TBATA	ENSG00000166220	10	70771239	70785401	q22.1	-1
33858	SGPL1	ENSG00000166224	10	70815961	70881173	q22.1	1
16132	PCBD1	ENSG00000166228	10	70882280	70888784	q22.1	-1
20349	UNC5B	ENSG00000107731	10	71212570	71302864	q22.1	1
21500	UNC5B-AS1	ENSG00000237512	10	71217224	71218228	q22.1	-1
13719	SLC29A3	ENSG00000198246	10	71319258	71363385	q22.1	1
9084	CDH23	ENSG00000107736	10	71396934	71815947	q22.1	1
8874	CDH23-AS1	ENSG00000223817	10	71508153	71511873	q22.1	-1
8880	C10orf105	ENSG00000214688	10	71711701	71737824	q22.1	-1
8848	C10orf54	ENSG00000107738	10	71747559	71773498	q22.1	-1
4271	MIR7152	ENSG00000274824	10	71790747	71790800	q22.1	1
10850	PSAP	ENSG00000197746	10	71816298	71851369	q22.1	-1
2997	RNU7-38P	ENSG00000238446	10	71844735	71844794	q22.1	-1
26531	CHST3	ENSG00000122863	10	71964365	72013564	q22.1	1
32789	SPOCK2	ENSG00000107742	10	72059035	72089032	q22.1	-1
14089	ASCC1	ENSG00000138303	10	72096032	72217134	q22.1	-1
15713	ANAPC16	ENSG00000166295	10	72216000	72235860	q22.1	1
29092	DDIT4	ENSG00000168209	10	72273920	72276036	q22.1	1
13559	DNAJB12	ENSG00000148719	10	72332830	72355230	q22.1	-1
8870	MICU1	ENSG00000107745	10	72367327	72626191	q22.1	-1
2381	RNU6-805P	ENSG00000202513	10	72391964	72392069	q22.1	1
2883	RN7SL840P	ENSG00000272536	10	72582803	72583086	q22.1	1
24248	HMGN2P34	ENSG00000231471	10	72636497	72636765	q22.1	-1
9950	MCU	ENSG00000156026	10	72692131	72887694	q22.1	1
1504	MIR4676	ENSG00000266719	10	72721029	72721100	q22.1	1
14020	OIT3	ENSG00000138315	10	72893581	72933033	q22.1	1
15011	NPM1P24	ENSG00000215086	10	72917641	72918534	q22.1	-1
9372	PLA2G12B	ENSG00000138308	10	72935170	72954778	q22.1	-1
19372	RPL17P50	ENSG00000213700	10	73005833	73006595	q22.1	-1
23458	P4HA1	ENSG00000122884	10	73007217	73096974	q22.1	-1
25936	NUDT13	ENSG00000166321	10	73110375	73131828	q22.2	1
27665	ECD	ENSG00000122882	10	73130155	73169055	q22.2	-1
27115	FAM149B1	ENSG00000138286	10	73168166	73244504	q22.2	1
27036	DNAJC9	ENSG00000213551	10	73183362	73248862	q22.2	-1
30656	EIF4A2P2	ENSG00000227382	10	73199826	73201225	q22.2	1
29586	DNAJC9-AS1	ENSG00000236756	10	73247360	73276984	q22.2	1
30659	MRPS16	ENSG00000182180	10	73248843	73252693	q22.2	-1
29599	CFAP70	ENSG00000156042	10	73253759	73358859	q22.2	-1
5911	RNU6-833P	ENSG00000200356	10	73279062	73279168	q22.2	1
17317	ANXA7	ENSG00000138279	10	73375101	73414076	q22.2	-1
8313	MSS51	ENSG00000166343	10	73423579	73433561	q22.2	-1
9820	PPP3CB	ENSG00000107758	10	73436428	73496024	q22.2	-1
5687	PPP3CB-AS1	ENSG00000221817	10	73495525	73520070	q22.2	1
6892	USP54	ENSG00000166348	10	73497538	73625953	q22.2	-1
1167	RNU6-883P	ENSG00000207327	10	73529051	73529157	q22.2	-1
16959	MYOZ1	ENSG00000177791	10	73631654	73641757	q22.2	-1
26381	SYNPO2L	ENSG00000166317	10	73644881	73663803	q22.2	-1
25651	AGAP5	ENSG00000172650	10	73674285	73698159	q22.2	-1
5145	RNA5SP320	ENSG00000252072	10	73706490	73706613	q22.2	1
26487	BMS1P4	ENSG00000242338	10	73715843	73730469	q22.2	-1
33671	GLUD1P3	ENSG00000250959	10	73730562	73737311	q22.2	1
33674	DUSP8P5	ENSG00000235316	10	73731824	73733638	q22.2	1
16743	SEC24C	ENSG00000176986	10	73744384	73772161	q22.2	1
17839	FUT11	ENSG00000196968	10	73772291	73780251	q22.2	1
28418	CHCHD1	ENSG00000172586	10	73782047	73783652	q22.2	1
34439	ZSWIM8	ENSG00000214655	10	73785582	73801797	q22.2	1
11910	ZSWIM8-AS1	ENSG00000272589	10	73796514	73801399	q22.2	-1
34429	NDST2	ENSG00000166507	10	73801911	73811798	q22.2	-1
24663	CAMK2G	ENSG00000148660	10	73812501	73874591	q22.2	-1
30924	PLAU	ENSG00000122861	10	73909177	73917497	q22.2	1
31393	C10orf55	ENSG00000222047	10	73909969	73922777	q22.2	-1
26489	VCL	ENSG00000035403	10	73995193	74121363	q22.2	1
26132	AP3M1	ENSG00000185009	10	74120255	74151063	q22.2	-1
23562	ADK	ENSG00000156110	10	74151185	74709303	q22.2	1
23547	TIMM9P1	ENSG00000236900	10	74344550	74344805	q22.2	-1
23258	RPSAP6	ENSG00000214629	10	74371535	74372416	q22.2	1
24198	RAB5CP1	ENSG00000213731	10	74423435	74424014	q22.2	-1
24195	MRPL35P3	ENSG00000226253	10	74527584	74527947	q22.2	1
24202	POLR3DP1	ENSG00000214626	10	74654956	74656131	q22.2	1
31488	KAT6B	ENSG00000156650	10	74825582	75032622	q22.2	1
18546	DUPD1	ENSG00000188716	10	75037836	75058514	q22.2	-1
18553	PPIAP13	ENSG00000237882	10	75089248	75089725	q22.2	-1
28328	DUSP13	ENSG00000079393	10	75094432	75109221	q22.2	-1
7353	SAMD8	ENSG00000156671	10	75099586	75182123	q22.2	1
11268	VDAC2	ENSG00000165637	10	75210154	75231448	q22.2	1
22528	COMTD1	ENSG00000165644	10	75233969	75236030	q22.2	-1
19360	RPL39P25	ENSG00000227271	10	75269392	75269545	q22.2	-1
20129	ZNF503-AS1	ENSG00000226051	10	75269819	75373500	q22.2	1
20124	HMGA1P5	ENSG00000233313	10	75276376	75276646	q22.2	-1
20114	SPA17P1	ENSG00000236797	10	75382393	75382844	q22.2	-1
20011	ZNF503	ENSG00000165655	10	75397830	75401906	q22.2	-1
19661	ZNF503-AS2	ENSG00000237149	10	75401519	75408982	q22.2	1
15678	C10orf11	ENSG00000148655	10	75431453	76560167	q22.2	1
5546	MIR606	ENSG00000207583	10	75552458	75552553	q22.2	1
3303	RN7SL518P	ENSG00000265486	10	76242022	76242301	q22.3	-1
3531	RNU6-673P	ENSG00000201954	10	76260800	76260903	q22.3	-1
25671	ATP5G1P8	ENSG00000224948	10	76836568	76836861	q22.3	1
18168	KCNMA1	ENSG00000156113	10	76869601	77638595	q22.3	-1
28059	KCNMA1-AS1	ENSG00000236467	10	76888044	76980624	q22.3	1
28053	KCNMA1-AS2	ENSG00000225497	10	77147652	77150100	q22.3	1
28145	KCNMA1-AS3	ENSG00000225652	10	77354404	77376613	q22.3	1
28057	COX6CP15	ENSG00000228092	10	77433572	77433782	q22.3	-1
5006	RNA5SP321	ENSG00000199592	10	77587049	77587159	q22.3	1
14606	RNU6-1266P	ENSG00000199664	10	77776951	77777055	q22.3	-1
20380	DLG5	ENSG00000151208	10	77790791	77926526	q22.3	-1
4760	RN7SL284P	ENSG00000243446	10	77912271	77912545	q22.3	-1
33580	DLG5-AS1	ENSG00000233871	10	77927372	77929824	q22.3	1
6191	H2AFZP5	ENSG00000234612	10	77953495	77953876	q22.3	1
14032	POLR3A	ENSG00000148606	10	77969251	78029545	q22.3	-1
25336	RPS24	ENSG00000138326	10	78033760	78056812	q22.3	1
199	GNAI2P2	ENSG00000231957	10	78068623	78069538	q22.3	-1
2189	LINC00856	ENSG00000230417	10	78238255	78675109	q22.3	1
3719	LINC00595	ENSG00000227136	10	78267328	78330595	q22.3	1
16565	ZMIZ1-AS1	ENSG00000224596	10	78943328	79067895	q22.3	-1
8722	ZMIZ1	ENSG00000108175	10	79069035	79316528	q22.3	1
12570	PPIF	ENSG00000108179	10	79347469	79355337	q22.3	1
23993	ZCCHC24	ENSG00000165424	10	79382325	79445627	q22.3	-1
26845	TPRX1P1	ENSG00000259021	10	79499666	79499984	q22.3	-1
8460	EIF5AL1	ENSG00000253626	10	79512601	79516440	q22.3	1
13650	RPS12P18	ENSG00000232965	10	79544087	79544356	q22.3	1
6547	SFTPA2	ENSG00000185303	10	79555852	79560397	q22.3	-1
19060	MBL3P	ENSG00000219430	10	79582298	79584877	q22.3	-1
20663	SFTPA3P	ENSG00000225827	10	79595294	79595660	q22.3	-1
25309	SFTPA1	ENSG00000122852	10	79610939	79615455	q22.3	1
26167	NUTM2B-AS1	ENSG00000225484	10	79663088	79826594	q22.3	-1
26159	BEND3P3	ENSG00000278616	10	79682997	79685436	q22.3	1
26782	NUTM2B	ENSG00000188199	10	79703227	79714681	q22.3	1
18707	NUTM2E	ENSG00000228570	10	79841358	79850878	q22.3	1
22265	NPAP1P2	ENSG00000214695	10	79860573	79861806	q22.3	1
22309	CTSLP6	ENSG00000204437	10	79870375	79873903	q22.3	-1
6947	PGGT1BP2	ENSG00000214584	10	79892148	79893175	q22.3	-1
7227	MBL1P	ENSG00000242600	10	79904898	79950336	q22.3	1
7096	SFTPD	ENSG00000133661	10	79937740	79982614	q22.3	-1
7203	SFTPD-AS1	ENSG00000273372	10	79968213	79973213	q22.3	1
7951	ZNRF2P3	ENSG00000235924	10	79981839	79982212	q22.3	1
23662	C1DP3	ENSG00000224760	10	80024737	80025159	q22.3	-1
23724	C1DP2	ENSG00000236217	10	80031968	80032393	q22.3	-1
23728	C1DP4	ENSG00000227515	10	80040621	80041044	q22.3	-1
29701	TMEM254-AS1	ENSG00000230091	10	80046860	80078912	q22.3	-1
23834	TMEM254	ENSG00000133678	10	80078646	80092557	q22.3	1
15122	RPL22P18	ENSG00000230171	10	80125941	80126317	q22.3	1
16000	PLAC9	ENSG00000189129	10	80131682	80145359	q22.3	1
11929	ANXA11	ENSG00000122359	10	80150889	80205572	q22.3	-1
19013	LINC00857	ENSG00000237523	10	80207710	80219657	q22.3	1
19015	RPS12P2	ENSG00000234319	10	80215851	80216119	q22.3	-1
33159	EIF5AP4	ENSG00000234743	10	80247219	80247683	q22.3	-1
7513	MAT1A	ENSG00000151224	10	80271820	80289684	q22.3	-1
8333	ZNF519P1	ENSG00000232950	10	80297720	80299655	q22.3	1
16482	DYDC1	ENSG00000170788	10	80336105	80356755	q23.1	-1
16326	DYDC2	ENSG00000133665	10	80344745	80368073	q23.1	1
23464	FAM213A	ENSG00000122378	10	80407829	80437115	q23.1	1
27946	TSPAN14	ENSG00000108219	10	80454166	80533123	q23.1	1
28478	SH2D4B	ENSG00000178217	10	80537902	80646560	q23.1	1
6904	RPS7P9	ENSG00000233353	10	80716483	80717068	q23.1	-1
13264	FARSBP1	ENSG00000231060	10	80776165	80778088	q23.1	-1
13271	WARS2P1	ENSG00000227209	10	80940665	80941201	q23.1	-1
22819	RPA2P2	ENSG00000226466	10	81136540	81137335	q23.1	-1
11131	NRG3	ENSG00000185737	10	81875314	82987179	q23.1	1
11113	NRG3-AS1	ENSG00000225738	10	82228985	82232920	q23.1	-1
1376	RNU6-441P	ENSG00000207275	10	82340771	82340876	q23.1	1
5365	RNU6-478P	ENSG00000200774	10	83067962	83068071	q23.1	-1
21098	MARK2P15	ENSG00000234931	10	83311628	83314475	q23.1	-1
14554	RNU6-129P	ENSG00000212324	10	83764358	83764464	q23.1	1
1944	RNU1-65P	ENSG00000200789	10	84003332	84003479	q23.1	1
26900	HMGN2P8	ENSG00000212769	10	84081429	84081995	q23.1	1
8353	GHITM	ENSG00000165678	10	84139440	84153555	q23.1	1
19739	C10orf99	ENSG00000188373	10	84173738	84185294	q23.1	1
6179	CDHR1	ENSG00000148600	10	84194635	84219621	q23.1	1
27469	LRIT2	ENSG00000204033	10	84220495	84225589	q23.1	-1
27475	LRIT1	ENSG00000148602	10	84231593	84241461	q23.1	-1
21306	RGR	ENSG00000148604	10	84245053	84259960	q23.1	1
18582	LINC00858	ENSG00000229404	10	84279980	84294659	q23.1	1
19936	CCSER2	ENSG00000107771	10	84328586	84518521	q23.1	1
22542	RPL12P29	ENSG00000233189	10	84389170	84389626	q23.1	-1
19730	TNPO1P1	ENSG00000225423	10	84390908	84392045	q23.1	1
22541	CACYBPP1	ENSG00000225928	10	84454679	84456056	q23.1	-1
12122	RPS3AP5	ENSG00000178429	10	84560443	84561263	q23.1	1
13734	LINC01519	ENSG00000237267	10	85193421	85197958	q23.1	-1
26967	LINC01520	ENSG00000230962	10	85449592	85491996	q23.1	1
1788	RNU6-325P	ENSG00000223064	10	85537379	85537483	q23.1	1
27796	GRID1-AS1	ENSG00000234942	10	85577731	85607213	q23.1	1
27816	GRID1	ENSG00000182771	10	85599555	86366493	q23.2	-1
5275	RN7SKP238	ENSG00000252292	10	85650012	85650260	q23.1	-1
1638	RNA5SP322	ENSG00000200487	10	86052448	86052566	q23.1	1
3644	MIR346	ENSG00000199104	10	86264694	86264788	q23.2	-1
21384	WAPAL	ENSG00000062650	10	86435256	86521815	q23.2	-1
3510	RNU6-780P	ENSG00000212332	10	86488446	86488549	q23.2	1
14073	RPL7AP8	ENSG00000230507	10	86630825	86631628	q23.2	-1
14907	OPN4	ENSG00000122375	10	86654557	86666848	q23.2	1
21614	LDB3	ENSG00000122367	10	86668449	86736068	q23.2	1
25693	BMPR1A	ENSG00000107779	10	86756650	86932838	q23.2	1
3211	RNU1-19P	ENSG00000200176	10	86889569	86889733	q23.2	1
30807	MMRN2	ENSG00000173269	10	86935540	86969481	q23.2	-1
30906	SNCG	ENSG00000173267	10	86958618	86963260	q23.2	1
30795	ADIRF-AS1	ENSG00000272734	10	86965345	86971311	q23.2	-1
30770	ADIRF	ENSG00000148671	10	86968192	86983934	q23.2	1
31421	AGAP11	ENSG00000271880	10	86970741	87010126	q23.2	1
31419	BMS1P3	ENSG00000240089	10	86992253	87000435	q23.2	1
30966	FAM25A	ENSG00000188100	10	87020306	87024730	q23.2	1
889	RNU6-529P	ENSG00000200253	10	87041238	87041341	q23.2	-1
7946	GLUD1	ENSG00000148672	10	87050486	87094866	q23.2	-1
10164	FAM35A	ENSG00000122376	10	87094161	87191468	q23.2	1
3451	RN7SL733P	ENSG00000273946	10	87154041	87154369	q23.2	-1
9057	NUTM2A-AS1	ENSG00000223482	10	87203875	87342612	q23.2	-1
7860	NUTM2A	ENSG00000184923	10	87225448	87236908	q23.2	1
33307	LINC00863	ENSG00000224914	10	87342736	87357882	q23.2	1
33303	NUTM2D	ENSG00000214562	10	87357668	87370695	q23.2	1
106	NPAP1P3	ENSG00000237740	10	87376896	87378481	q23.2	1
132	CTSLP1	ENSG00000236417	10	87386685	87390203	q23.2	-1
12306	LINC00864	ENSG00000228055	10	87397023	87424792	q23.2	-1
15312	MINPP1	ENSG00000107789	10	87504875	87553460	q23.2	1
22371	PAPSS2	ENSG00000198682	10	87659613	87747705	q23.2	1
16575	ATAD1	ENSG00000138138	10	87751512	87841343	q23.31	-1
16527	CFL1P1	ENSG00000223820	10	87817928	87845612	q23.31	1
2332	RN7SL78P	ENSG00000243782	10	87832818	87833098	q23.31	-1
20390	KLLN	ENSG00000227268	10	87859161	87863437	q23.31	-1
20402	PTEN	ENSG00000171862	10	87863113	87971930	q23.31	1
13877	MED6P1	ENSG00000227905	10	88048135	88049823	q23.31	-1
14095	RNLS	ENSG00000184719	10	88273864	88584530	q23.31	-1
23774	LIPJ	ENSG00000204022	10	88586753	88606976	q23.31	1
10861	RPL7P34	ENSG00000237205	10	88618223	88618934	q23.31	-1
11656	LIPF	ENSG00000182333	10	88664441	88678814	q23.31	1
24032	LIPK	ENSG00000204021	10	88724544	88752786	q23.31	1
24404	KRT8P38	ENSG00000226358	10	88727485	88728914	q23.31	1
7790	LIPN	ENSG00000204020	10	88761406	88778242	q23.31	1
7959	RCBTB2P1	ENSG00000235150	10	88785600	88787061	q23.31	-1
8031	LIPM	ENSG00000173239	10	88802730	88820546	q23.31	1
8436	ANKRD22	ENSG00000152766	10	88822132	88851818	q23.31	-1
11435	PTCD2P2	ENSG00000234256	10	88876450	88877544	q23.31	1
14192	STAMBPL1	ENSG00000138134	10	88879734	88975153	q23.31	1
14774	ACTA2-AS1	ENSG00000180139	10	88932390	88940820	q23.31	1
23820	ACTA2	ENSG00000107796	10	88935074	88991390	q23.31	-1
15153	FAS	ENSG00000026103	10	88990531	89015785	q23.31	1
416	MIR4679-1	ENSG00000265375	10	89063335	89063411	q23.31	-1
417	MIR4679-2	ENSG00000265375	10	89063335	89063411	q23.31	-1
13167	CH25H	ENSG00000138135	10	89205629	89207314	q23.31	-1
33002	LIPA	ENSG00000107798	10	89213569	89414557	q23.31	-1
32213	IFIT2	ENSG00000119922	10	89301955	89309276	q23.31	1
32592	IFIT3	ENSG00000119917	10	89327894	89340971	q23.31	1
33127	IFIT6P	ENSG00000224289	10	89362294	89363487	q23.31	1
32781	IFIT1B	ENSG00000204010	10	89378056	89385205	q23.31	1
32460	IFIT1	ENSG00000185745	10	89392546	89406486	q23.31	1
33698	IFIT5	ENSG00000152778	10	89414586	89421001	q23.31	1
33932	SLC16A12	ENSG00000152779	10	89430299	89556641	q23.31	-1
33961	SLC16A12-AS1	ENSG00000234452	10	89456064	89468140	q23.31	1
34138	PANK1	ENSG00000152782	10	89579497	89645572	q23.31	-1
5115	MIR107	ENSG00000198997	10	89592743	89592829	q23.31	-1
10225	KIF20B	ENSG00000138182	10	89701610	89774939	q23.31	1
26328	LINC00865	ENSG00000232229	10	89829510	89840861	q23.31	1
6419	LINC01374	ENSG00000280560	10	89853906	89914948	q23.31	1
7391	LINC01375	ENSG00000226159	10	89915489	89957373	q23.31	-1
32513	SNRPD2P1	ENSG00000228938	10	89978717	89979070	q23.31	1
1860	RN7SKP143	ENSG00000222451	10	90163651	90163960	q23.31	-1
23927	HTR7	ENSG00000148680	10	90740823	90857698	q23.31	-1
24034	RPP30	ENSG00000148688	10	90871716	90908553	q23.31	1
18999	ANKRD1	ENSG00000148677	10	90912096	90921276	q23.31	-1
14343	RNU6-740P	ENSG00000201604	10	90922731	90922835	q23.31	-1
213	LINC00502	ENSG00000224851	10	91047166	91062159	q23.31	1
208	DDX18P6	ENSG00000220585	10	91053051	91055047	q23.31	1
10880	PCGF5	ENSG00000180628	10	91163012	91284331	q23.32	1
27420	HECTD2	ENSG00000165338	10	91410285	91514829	q23.32	1
33893	RPS27P1	ENSG00000223876	10	91544852	91545098	q23.32	1
33900	PPP1R3C	ENSG00000119938	10	91628442	91633054	q23.32	-1
33934	GAPDHP28	ENSG00000213449	10	91666780	91667782	q23.32	-1
33935	FAF2P1	ENSG00000228759	10	91765899	91767196	q23.32	-1
33936	TNKS2-AS1	ENSG00000228701	10	91782839	91798291	q23.32	-1
7965	TNKS2	ENSG00000107854	10	91798312	91865276	q23.32	1
9209	SRP9P1	ENSG00000180581	10	91807179	91807439	q23.32	-1
6781	FGFBP3	ENSG00000174721	10	91906589	91909483	q23.32	-1
33967	BTAF1	ENSG00000095564	10	91923769	92030325	q23.32	1
17482	CPEB3	ENSG00000107864	10	92046692	92291087	q23.32	-1
17439	SDHCP2	ENSG00000214549	10	92118664	92119164	q23.32	1
17452	EIF4A1P8	ENSG00000213484	10	92136875	92138370	q23.32	1
17440	NHP2P1	ENSG00000105988	10	92216332	92216793	q23.32	1
21528	MARCH5	ENSG00000198060	10	92291163	92353964	q23.32	1
4291	RNY3P12	ENSG00000202297	10	92334463	92334564	q23.33	1
23517	MARK2P9	ENSG00000232709	10	92418667	92420875	q23.33	1
29165	IDE	ENSG00000119912	10	92451684	92574076	q23.33	-1
9650	KIF11	ENSG00000138160	10	92593286	92655395	q23.33	1
518	RN7SL644P	ENSG00000264313	10	92659044	92659302	q23.33	1
24138	EIF2S2P3	ENSG00000236493	10	92668745	92669743	q23.33	-1
24513	HHEX	ENSG00000152804	10	92689951	92695646	q23.33	1
25843	EXOC6	ENSG00000138190	10	92834713	93059493	q23.33	1
17640	CYP26C1	ENSG00000187553	10	93060808	93069536	q23.33	1
17829	CYP26A1	ENSG00000095596	10	93073475	93077890	q23.33	1
21937	NIP7P1	ENSG00000232805	10	93106872	93107383	q23.33	-1
21943	XRCC6P1	ENSG00000237417	10	93206857	93209627	q23.33	-1
13195	MYOF	ENSG00000138119	10	93306429	93482317	q23.33	-1
16030	CEP55	ENSG00000138180	10	93496632	93529092	q23.33	1
4673	RNA5SP323	ENSG00000212396	10	93510548	93510680	q23.33	-1
32835	FFAR4	ENSG00000186188	10	93566665	93604480	q23.33	1
